Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.015083215,-2.597708941,5.877765179,5.154716492,-0.6359629035,-0.8037420511,0.1624528319,phone,user2,sit
0.035083137,-2.370259762,5.844246387,4.939238071,-1.285774231,-0.9512811303,0.238086611,phone,user2,sit
0.055089191,-2.106897593,5.786785603,6.619967937,-1.830657005,-1.238902569,0.371244669,phone,user2,sit
0.075096887,-1.551442742,5.937620163,8.66940403,-2.062351942,-1.273523688,0.5075985193,phone,user2,sit
0.095107512,-0.605733037,5.573701382,9.720458984,-1.987250805,-1.04768765,0.4426173866,phone,user2,sit
0.11512341,-0.8188169599,5.250484467,10.16578007,-1.737978935,-0.6103965044,0.2412824035,phone,user2,sit
0.135143644,-1.915361404,5.777208805,10.93192482,-1.386441708,-0.363255173,0.1821602285,phone,user2,sit
0.155168371,-2.061407566,5.152322292,11.09233665,-1.106277108,-0.2545982003,0.2908172011,phone,user2,sit
0.175185207,-1.63523972,4.108449936,11.32217979,-0.9028116465,-0.5454154015,0.3659183383,phone,user2,sit
0.195203644,-0.3088520169,3.38300705,11.62145519,-0.6556702852,-0.8207862377,0.2439455539,phone,user2,sit
0.215215558,0.8978256583,3.239354849,11.14022064,-0.4569984376,-1.006674886,-0.0788295716,phone,user2,sit
0.235228058,0.1125274822,3.320757866,10.15380955,-0.378701508,-1.129712939,-0.2487392575,phone,user2,sit
0.255231847,0.3782838583,2.889801502,8.968679428,-0.3163835406,-0.8958874345,-0.2237055302,phone,user2,sit
0.275243801,0.5841852427,2.48996973,8.777143478,-0.238086611,-0.5837649107,-0.2189118415,phone,user2,sit
0.295255441,0.8714894056,2.372653961,8.123526573,-0.1880191714,-0.5182511806,-0.2183792144,phone,user2,sit
0.315269465,1.230619669,1.843535304,8.157045364,-0.2455434501,-0.7930893898,-0.3217098713,phone,user2,sit
0.33527798,1.716642618,1.56101954,7.570465565,-0.3211772442,-0.7675230503,-0.3824299276,phone,user2,sit
0.355291887,3.675099611,0.9504981041,7.92001915,-0.1869539171,-0.7174556255,-0.5123922229,phone,user2,sit
0.375307043,3.117250681,0.5674257874,7.850587368,0.3488741219,-0.8378304839,-0.7701861858,phone,user2,sit
0.395317863,1.326387763,0.6368576288,9.193734169,0.9097358584,-1.005609632,-0.8261125684,phone,user2,sit
0.415334191,0.6320692301,1.091755986,8.623914719,1.045024395,-1.665008307,-0.8841695189,phone,user2,sit
0.435347199,0.1532289088,1.132457376,6.655880928,0.8298410177,-1.432248116,-0.6306365728,phone,user2,sit
0.455362121,0.1939303428,2.942473888,6.145915985,0.334493041,-1.245294094,-0.3818973005,phone,user2,sit
0.475380285,2.027888775,2.887407303,7.706935406,-0.1219727769,-1.792840123,-0.2071939409,phone,user2,sit
0.495397941,1.010353088,2.873042107,8.813055992,0.0825579986,-2.367550135,0.2439455539,phone,user2,sit
0.515408488,2.066195965,2.346317768,7.491456985,-0.3723099232,-2.746784449,0.5427522659,phone,user2,sit
0.535419504,2.358288765,2.662352324,6.969521046,-1.040230751,-2.572613716,0.5379585624,phone,user2,sit
0.555420168,4.496310711,2.894589901,7.10599041,-1.18776989,-2.769155025,0.5166532397,phone,user2,sit
0.575413176,6.076483727,1.544260144,6.797138691,-1.504153371,-2.932672977,0.5113269091,phone,user2,sit
0.595413644,6.011840343,1.613691926,9.179368973,-1.932922363,-0.4266384244,0.624244988,phone,user2,sit
0.615422512,6.629544735,1.18752408,9.694122314,-1.442368031,-0.1944107562,0.2849582434,phone,user2,sit
0.635433918,4.697423935,1.414973259,9.457097054,-1.497761846,-1.504153371,-0.3845604658,phone,user2,sit
0.655462629,3.440467834,1.56101954,9.299078941,-1.386441708,-2.34624505,-0.4079962969,phone,user2,sit
0.675489465,3.598485231,0.8882488012,9.107542992,-1.410942793,-3.045058489,-0.01864212751,phone,user2,sit
0.695508019,4.515464306,0.1867477298,8.916007042,-1.442900658,-3.279949188,0.3408846259,phone,user2,sit
0.715525012,5.413290024,-0.3711012602,8.738836288,-1.503620744,-2.91562891,0.5273059011,phone,user2,sit
0.735535637,6.562506676,-0.7134721279,9.17697525,-1.459412336,-1.979794025,0.4506068528,phone,user2,sit
0.755550441,6.445190907,-0.6224924326,9.29189682,-1.347026944,-1.006142259,0.2237055302,phone,user2,sit
0.775573527,5.451597214,-0.8092401624,8.939949036,-1.256479383,-0.6029396653,0.1384843737,phone,user2,sit
0.795590285,4.465186119,-0.8188169599,8.66940403,-1.120125532,-0.6679208279,0.1518001854,phone,user2,sit
