Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.000000000,-0.001404345,-0.001186743,0.005766451,0.011187009,0.022669112,0.014312930,watch,user3,lie
0.009999104,-0.001755357,-0.002558544,0.006893218,0.004702478,0.021760175,0.014936376,watch,user3,lie
0.019998208,0.002098769,-0.002718404,0.007895470,-0.000459039,0.023303567,0.013109381,watch,user3,lie
0.029997056,0.007010311,-0.001167491,0.010063946,0.003232369,0.014799293,0.010170051,watch,user3,lie
0.039995904,0.008650839,0.001356065,0.009470820,0.010471151,0.009106166,0.008467824,watch,user3,lie
0.049995008,0.010099441,0.003312737,0.008773804,0.021175196,0.000961420,0.005603861,watch,user3,lie
0.059993088,0.010517836,0.002324522,0.007702351,0.033120226,-0.001731480,0.008975357,watch,user3,lie
0.069992192,0.005703241,-0.002488077,0.009570003,0.038856678,0.003505094,0.008938339,watch,user3,lie
0.079991040,0.002073556,-0.003452986,0.008480310,0.045637261,0.010499798,0.016798524,watch,user3,lie
0.089989888,-0.000338018,-0.005392894,0.005145788,0.055424113,0.016691115,0.017334087,watch,user3,lie
0.099988992,-0.001502842,-0.003433779,0.003075242,0.061279826,0.019346109,0.017791951,watch,user3,lie
0.109988096,-0.001136303,-0.001706392,0.000964522,0.060250781,0.022346159,0.020051377,watch,user3,lie
0.119986944,-0.002392352,-0.001838639,0.000219584,0.052208122,0.025369201,0.021312915,watch,user3,lie
0.129986048,-0.002162129,-0.003399432,-0.001370966,0.040167972,0.032454275,0.021422371,watch,user3,lie
0.139985152,-0.003507882,-0.001830727,-0.002318144,0.026264763,0.032020003,0.021389881,watch,user3,lie
0.149984000,-0.001191765,-0.001991957,-0.003058255,0.020264661,0.037676558,0.023094570,watch,user3,lie
0.159982080,-0.000666380,0.000608236,-0.002982676,0.019357098,0.038636539,0.025617983,watch,user3,lie
0.169980928,0.000953376,-0.000459433,-0.005371988,0.024102585,0.037668213,0.025942888,watch,user3,lie
0.179980032,0.005420476,-0.001198933,-0.003400207,0.023390412,0.034155592,0.022931585,watch,user3,lie
0.189979136,0.004246652,-0.004075482,-0.002555668,0.017189242,0.030453797,0.026824594,watch,user3,lie
0.199977984,0.006281734,-0.006224021,0.000816166,0.016955726,0.026572151,0.030950431,watch,user3,lie
0.209976832,0.005276829,-0.006608933,0.004494786,0.007914029,0.017443368,0.026863011,watch,user3,lie
0.219975936,0.006039053,-0.004080638,0.006630957,-0.009677837,0.012306042,0.023446839,watch,user3,lie
0.229975040,0.006492138,0.000369474,0.004053116,-0.016482214,0.005920581,0.021099797,watch,user3,lie
0.239974144,0.004823208,0.003189132,0.002622962,-0.019528782,0.001861746,0.024453782,watch,user3,lie
0.249972992,0.002008528,0.005413488,0.001708031,-0.021462504,0.002605833,0.022177577,watch,user3,lie
0.259972096,0.002519399,0.002573833,0.003224969,-0.023140648,0.000208101,0.016729150,watch,user3,lie
0.269969920,0.004522204,0.000276342,0.005548775,-0.022133972,-0.003551750,0.014308603,watch,user3,lie
0.279969024,0.002979696,-0.003120914,0.006778598,-0.021082958,-0.002997546,0.018931517,watch,user3,lie
0.289968128,0.000627100,-0.004352733,0.005893648,-0.020754324,0.005534689,0.019058283,watch,user3,lie
0.299966976,-0.000980198,-0.003948197,0.008183062,-0.012299852,0.010649556,0.022158736,watch,user3,lie
0.309966080,-0.004960626,-0.006680235,0.011230171,0.000873740,0.014004873,0.021533426,watch,user3,lie
0.319964928,-0.005732477,-0.006394848,0.012074888,0.011924039,0.017022146,0.023808630,watch,user3,lie
0.329964032,-0.008611172,-0.009018406,0.007734537,0.010224409,0.019854151,0.021928972,watch,user3,lie
0.339962880,-0.008299023,-0.001882851,0.000682533,0.015816471,0.021263851,0.018770928,watch,user3,lie
0.349961984,-0.006711990,0.002715543,-0.003451467,0.021853324,0.023895586,0.017408988,watch,user3,lie
0.359961088,-0.009678572,0.006300896,-0.005968094,0.015753353,0.023434594,0.016849725,watch,user3,lie
0.369958912,-0.008365184,0.003010392,-0.008062363,0.002186412,0.027515888,0.018998895,watch,user3,lie
0.379958016,-0.004951596,-0.002026379,-0.006954849,-0.015283392,0.026890311,0.019430727,watch,user3,lie
0.389956864,-0.002910316,-0.006828830,-0.004573226,-0.031371016,0.028295396,0.026292628,watch,user3,lie
0.399955968,0.000948370,-0.008464456,-0.002821267,-0.041591518,0.025818832,0.031045038,watch,user3,lie
0.409955072,0.002899200,-0.008545801,-0.000271380,-0.043021634,0.022657927,0.030101482,watch,user3,lie
0.419954176,0.010110050,-0.003852651,0.003870189,-0.045545645,0.018813919,0.028997134,watch,user3,lie
0.429953024,0.010830969,0.000482321,0.002566695,-0.042963978,0.014514780,0.027858367,watch,user3,lie
0.439951872,0.011181831,0.002349854,0.003961086,-0.034884878,0.009451311,0.023057420,watch,user3,lie
