Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.000000000,-0.097237378,0.055855721,-0.046062768,0.263044715,-0.511862278,-0.661607087,watch,user3,run
0.009999104,-0.115273356,0.044068351,-0.019707382,0.185870573,-0.528588831,-0.729575455,watch,user3,run
0.019997184,-0.134380862,0.031518281,-0.000911891,0.166665718,-0.513661802,-0.803999603,watch,user3,run
0.029996032,-0.136810243,0.029462233,-0.002274096,0.219445273,-0.463717848,-0.835586548,watch,user3,run
0.039994112,-0.121667586,0.041252986,-0.004916668,0.296578676,-0.401179105,-0.837625682,watch,user3,run
0.049992960,-0.092193909,0.057161853,0.010244966,0.334024847,-0.352090925,-0.813091338,watch,user3,run
0.059992064,-0.069154128,0.068199575,0.025002062,0.290735453,-0.315948635,-0.760058224,watch,user3,run
0.069989888,-0.055137701,0.070891328,0.045487821,0.185114905,-0.288053960,-0.692326963,watch,user3,run
0.079988992,-0.041294523,0.061321072,0.074987829,0.048738956,-0.258850813,-0.649977088,watch,user3,run
0.089987072,-0.030075982,0.043841861,0.090561688,-0.078227334,-0.209818885,-0.643437147,watch,user3,run
0.099986176,-0.026177503,0.030990332,0.088202477,-0.167080507,-0.157387108,-0.674294174,watch,user3,run
0.109984000,-0.017303832,0.022319362,0.082782924,-0.186723769,-0.105653793,-0.733625889,watch,user3,run
0.119983104,-0.000172041,0.017671555,0.076589823,-0.161213338,-0.055592220,-0.794570982,watch,user3,run
0.129981952,0.020497471,0.022755414,0.068333030,-0.111838557,-0.018348798,-0.855051816,watch,user3,run
0.139980032,0.038107432,0.032633677,0.071107268,-0.069615208,-0.009020809,-0.887770653,watch,user3,run
0.149979136,0.063082658,0.047902659,0.079082131,-0.011568460,0.005490843,-0.886942685,watch,user3,run
0.159976960,0.092329912,0.064222932,0.081048608,0.047408573,0.025333524,-0.901618838,watch,user3,run
0.169976064,0.108090229,0.066219449,0.066401005,0.109221160,0.057533093,-0.935948730,watch,user3,run
0.179974144,0.112209849,0.071067870,0.042500556,0.162281454,0.091810107,-0.972313702,watch,user3,run
0.189973248,0.114669263,0.075785294,0.040107191,0.196257919,0.122283861,-1.006627798,watch,user3,run
0.199971840,0.118540831,0.070117012,0.048224568,0.204553396,0.141302556,-1.043493629,watch,user3,run
0.209969920,0.124413505,0.057961598,0.058797598,0.176383466,0.158471867,-1.072990417,watch,user3,run
0.219969024,0.127060533,0.052857801,0.076847076,0.077293903,0.169649959,-1.108422160,watch,user3,run
0.229967104,0.133342370,0.051742584,0.087202549,-0.064780280,0.184963137,-1.148524642,watch,user3,run
0.239965952,0.135570377,0.037824363,0.096468270,-0.211225912,0.209902301,-1.187894464,watch,user3,run
0.249964032,0.140415490,0.022688061,0.109205127,-0.359131843,0.240001783,-1.225354195,watch,user3,run
0.259963136,0.141460001,0.012460291,0.127907693,-0.502343297,0.276754469,-1.243525982,watch,user3,run
0.269961984,0.135221601,0.006119549,0.135475099,-0.615925610,0.324912339,-1.249644637,watch,user3,run
0.279960064,0.119327709,-0.014335513,0.132091343,-0.735187531,0.370815933,-1.273503423,watch,user3,run
0.289958912,0.101795077,-0.026620954,0.138590991,-0.837940872,0.390806377,-1.278012395,watch,user3,run
0.299956992,0.102671348,-0.036901787,0.124717474,-0.912134945,0.414183617,-1.257216930,watch,user3,run
0.309956096,0.103285901,-0.045643702,0.098483503,-0.945221841,0.447069496,-1.237695813,watch,user3,run
0.319953920,0.101860099,-0.058432609,0.081109524,-0.970575929,0.475192726,-1.187507987,watch,user3,run
0.329953024,0.097561136,-0.066562623,0.079108298,-0.955971062,0.542562664,-1.189644456,watch,user3,run
0.339952128,0.094366647,-0.086999178,0.083313167,-0.361505061,0.486775011,-2.118552685,watch,user3,run
0.349950208,0.106471524,-0.114227444,0.069864869,-0.417485863,0.590575337,-1.630753160,watch,user3,run
0.359949056,0.123508699,0.025486544,0.116824925,-0.366581947,0.757824242,-0.911019802,watch,user3,run
0.369946880,0.073676050,-0.052338153,0.097244680,-0.328208923,0.767879963,-0.781471312,watch,user3,run
0.379945984,0.007356405,-0.173148140,0.116189778,-0.391370058,0.753863752,-0.941031694,watch,user3,run
0.389944064,-0.013769992,-0.166528016,0.134808064,-0.461689472,0.803915679,-1.028061867,watch,user3,run
0.399943168,0.018211044,-0.123046204,0.142133951,-0.455395877,0.893294275,-0.993843496,watch,user3,run
0.409940992,0.046111055,-0.099901423,0.133253276,-0.368918985,0.954009771,-0.937851012,watch,user3,run
0.419940096,0.039242312,-0.091785848,0.079975188,-0.241875306,0.984566569,-0.924632132,watch,user3,run
0.429938944,0.019647196,-0.071528733,0.015173137,-0.115706712,1.000162840,-0.952344179,watch,user3,run
0.439937024,0.016190991,-0.035224706,-0.014309406,-0.000932726,0.994453847,-0.976088643,watch,user3,run
0.449935872,0.035745651,-0.005849838,-0.016713738,0.089038625,0.985703409,-0.988739550,watch,user3,run
0.459933952,0.057916656,-0.006029278,-0.007539332,0.111840874,0.990656853,-1.010329008,watch,user3,run
0.469933056,0.057975233,-0.035809726,0.012391031,0.079474278,0.973084271,-1.048380136,watch,user3,run
0.479931136,0.034722731,-0.083302408,0.023055792,0.013703253,0.929464102,-1.089985728,watch,user3,run
0.489929984,0.008120641,-0.118139446,0.008583963,-0.058109641,0.879780591,-1.123489618,watch,user3,run
0.499929088,-0.007775217,-0.123872668,-0.011108220,-0.111899637,0.836523950,-1.147278547,watch,user3,run
