Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.000000000,-0.008383274,-0.015420169,0.004300952,-0.058849379,-0.006938387,0.025258699,watch,user3,sit
0.010000896,-0.010527492,-0.013484150,0.004193783,-0.062799647,-0.001198742,0.024701567,watch,user3,sit
0.020001024,-0.009704858,-0.010833591,0.000412464,-0.059806786,0.001381861,0.018636217,watch,user3,sit
0.030000896,-0.009583741,-0.007629946,-0.001184523,-0.052166708,0.005749445,0.013414291,watch,user3,sit
0.040001024,-0.008739322,-0.004872277,-0.000447273,-0.045079194,0.011712972,0.006756722,watch,user3,sit
0.050002176,-0.008817822,-0.001937881,-0.000748456,-0.040810414,0.012877839,0.000080976,watch,user3,sit
0.060002048,-0.007078558,-0.003979310,-0.000496447,-0.034822118,0.014497486,-0.002415871,watch,user3,sit
0.070002176,-0.007118613,-0.008097664,0.001808643,-0.036022138,0.017641880,0.003702475,watch,user3,sit
0.080003072,-0.007285506,-0.008462235,0.001654506,-0.044115350,0.019033384,-0.004370831,watch,user3,sit
0.090003200,-0.009550452,-0.012774274,0.002302110,-0.053786885,0.020896263,-0.015179271,watch,user3,sit
0.100003072,-0.012842238,-0.014445439,0.002267122,-0.066721812,0.022860523,-0.011762368,watch,user3,sit
0.110002944,-0.013102382,-0.012892127,-0.000326335,-0.069958352,0.022908991,-0.009452343,watch,user3,sit
0.120004096,-0.013213724,-0.010460511,-0.003954649,-0.068723097,0.023145836,-0.013172645,watch,user3,sit
0.130003968,-0.012961835,-0.010055900,-0.009050846,-0.063931800,0.021637421,-0.014715681,watch,user3,sit
0.140004096,-0.011806309,-0.006058842,-0.009972870,-0.046167050,0.021296270,-0.009911005,watch,user3,sit
0.150003968,-0.010376632,-0.006780714,-0.009792686,-0.035354614,0.020263230,-0.008463843,watch,user3,sit
0.160005120,-0.008240700,-0.007318288,-0.010957241,-0.028430086,0.020400826,-0.008697336,watch,user3,sit
0.170005248,-0.008637190,-0.006478161,-0.006683052,-0.022685383,0.020230651,-0.009199608,watch,user3,sit
0.180005120,-0.008715630,-0.013242856,-0.007800877,-0.016560644,0.015626045,-0.008236476,watch,user3,sit
0.190005248,-0.009117782,-0.014936939,-0.008922696,-0.022414804,0.017254300,-0.006721137,watch,user3,sit
0.200006144,-0.008567959,-0.015170425,-0.008172989,-0.028644649,0.015012542,-0.004277687,watch,user3,sit
0.210006016,-0.009059429,-0.016581908,-0.005848169,-0.033541400,0.015186446,-0.003321879,watch,user3,sit
0.220006144,-0.010329723,-0.015737996,-0.001727223,-0.039535247,0.020706913,-0.001727111,watch,user3,sit
0.230006016,-0.010789305,-0.017342120,-0.000464022,-0.047726065,0.023401499,-0.001037086,watch,user3,sit
0.240006912,-0.011948884,-0.020711645,0.001444042,-0.056351777,0.024615901,-0.001976250,watch,user3,sit
0.250007040,-0.010607451,-0.021583691,0.002640247,-0.074006669,0.028993338,0.000588374,watch,user3,sit
0.260006912,-0.013019085,-0.021700278,0.005248368,-0.082195975,0.034647141,-0.006154883,watch,user3,sit
0.270008064,-0.014640868,-0.020028174,0.009370625,-0.081233777,0.042222500,-0.008189538,watch,user3,sit
0.280008192,-0.016426682,-0.017463103,0.013049364,-0.072308108,0.053692825,-0.009234829,watch,user3,sit
0.290008064,-0.017389089,-0.014346734,0.014891982,-0.065526105,0.061433304,-0.013573118,watch,user3,sit
0.300008192,-0.021289974,-0.012640327,0.013502002,-0.040038362,0.066081144,-0.016432887,watch,user3,sit
0.310009088,-0.018924206,-0.011176318,0.012193203,-0.017561816,0.079002798,0.000183907,watch,user3,sit
0.320008960,-0.014643073,-0.006178945,0.010814011,-0.013066133,0.087159529,0.048484329,watch,user3,sit
0.330009088,0.001326352,-0.010695592,0.014402866,-0.016029699,0.092523396,0.047127184,watch,user3,sit
0.340008960,-0.002938867,-0.019373596,0.010855734,-0.036113795,0.092500761,0.039272252,watch,user3,sit
0.350009856,-0.009470552,-0.018326178,0.011898637,-0.055151403,0.089853577,0.044575937,watch,user3,sit
0.360009984,-0.001159668,-0.019303605,0.011098385,-0.060099244,0.096392617,0.051543098,watch,user3,sit
0.370009856,-0.000916630,-0.020585164,0.010567844,-0.069197133,0.105756558,0.047093224,watch,user3,sit
0.380009984,-0.004937917,-0.022213921,0.013228595,-0.079154201,0.109674953,0.043977793,watch,user3,sit
0.390011136,-0.008713514,-0.024091348,0.012326956,-0.086786024,0.112982333,0.048187185,watch,user3,sit
0.400011008,-0.012798280,-0.025526196,0.013634741,-0.107374221,0.123052731,0.055609684,watch,user3,sit
0.410011136,-0.014240682,-0.027962491,0.013339281,-0.130094171,0.121914759,0.058444086,watch,user3,sit
0.420009472,-0.010867298,-0.032170117,0.011627913,-0.156845137,0.129607379,0.068041787,watch,user3,sit
0.430010624,-0.011664152,-0.034623116,0.012153625,-0.176009506,0.138012052,0.070932381,watch,user3,sit
0.440010496,-0.011846066,-0.030940875,0.014443636,-0.184474722,0.145945251,0.083473742,watch,user3,sit
0.450010624,-0.009514123,-0.030822873,0.019025624,-0.191818655,0.155701488,0.101438895,watch,user3,sit
0.460011520,-0.009495378,-0.034948468,0.027896345,-0.195209444,0.174350351,0.121492289,watch,user3,sit
0.470011648,-0.011179358,-0.042604223,0.036819875,-0.221107349,0.191080332,0.139505908,watch,user3,sit
