Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.000000000,-0.004359961,0.005823031,0.000100076,-0.006984849,0.013719222,-0.000424293,watch,user3,stand
0.009999872,-0.004429370,0.004552811,0.002436519,0.004017734,0.013019875,-0.001588893,watch,user3,stand
0.020001024,-0.002648383,0.003593907,0.002076328,0.010830589,0.013772042,-0.001064716,watch,user3,stand
0.030001152,-0.002110600,0.005241022,0.001674652,0.011904375,0.010938438,-0.003510031,watch,user3,stand
0.040001024,-0.001855195,0.003058225,0.003042996,0.014316711,0.009388389,-0.006728528,watch,user3,stand
0.050001152,-0.001375169,0.002221689,0.003001273,0.016122866,0.011273640,-0.004310910,watch,user3,stand
0.060001024,-0.001217037,0.000168353,0.001191258,0.011343868,0.009861011,-0.002225988,watch,user3,stand
0.070001920,0.000077009,-0.000327677,-0.000110567,0.005605289,0.011201113,-0.006449229,watch,user3,stand
0.080002048,-0.000560254,-0.003817245,0.002025306,0.000307818,0.010043261,-0.004565841,watch,user3,stand
0.090001920,-0.001643300,-0.005712137,0.003563523,-0.007867288,0.011143945,0.000900563,watch,user3,stand
0.100002048,-0.002035171,-0.007352263,0.002503276,-0.009454576,0.006906412,0.003753408,watch,user3,stand
0.110001920,-0.001006156,-0.004171774,0.001343250,-0.010619976,0.006136226,0.005471413,watch,user3,stand
0.120002048,-0.001206726,-0.002976432,0.003144920,-0.008748572,0.005042732,0.005027597,watch,user3,stand
0.130002944,-0.000724167,-0.003253207,0.000392377,-0.007022577,0.004786003,0.007466521,watch,user3,stand
0.140002816,-0.003400415,-0.003256917,0.000920177,-0.012476199,0.007388178,0.005836133,watch,user3,stand
0.150002944,-0.003279269,-0.002709255,0.000107884,-0.017975627,0.005336212,0.002999600,watch,user3,stand
0.160002816,-0.006482333,-0.001462862,0.001290500,-0.022288129,0.005988774,0.002098720,watch,user3,stand
0.170002944,-0.006881893,-0.000283480,-0.000945807,-0.017098958,0.008625836,-0.000327154,watch,user3,stand
0.180003072,-0.003623992,0.002163321,-0.000925422,-0.012799907,0.011259615,0.001391517,watch,user3,stand
0.190003968,-0.003157109,0.002370864,-0.002213597,-0.005409900,0.010749886,-0.003266884,watch,user3,stand
0.200004096,-0.003450066,0.000991255,-0.001502633,0.001820848,0.011779731,-0.002169795,watch,user3,stand
0.210003968,-0.003361970,0.000895441,-0.000379205,0.003595046,0.010731777,-0.001519185,watch,user3,stand
0.220004096,-0.002673179,-0.001028001,-0.001691103,0.006756529,0.011313321,-0.000969575,watch,user3,stand
0.230003968,-0.002517164,-0.002114445,-0.001400411,0.001200376,0.011441420,-0.001642556,watch,user3,stand
0.240004864,-0.000906229,-0.003764421,-0.000630617,-0.007840789,0.009378003,0.001719552,watch,user3,stand
0.250004992,-0.002009690,-0.003616974,0.002024353,-0.013648344,0.010711714,0.000367199,watch,user3,stand
0.260004864,-0.002833307,-0.002369940,0.000660837,-0.026274348,0.013043754,0.001193777,watch,user3,stand
