Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.000000000,-0.005832106,-0.005419254,-0.000962794,-0.058271162,-0.075234003,0.146869123,watch,user3,walk
0.009999104,-0.005383104,-0.002728403,-0.000460982,-0.057018943,-0.064225033,0.137607187,watch,user3,walk
0.019997184,-0.005664378,0.000690997,0.000076354,-0.052153349,-0.060202327,0.131847829,watch,user3,walk
0.029996288,-0.004196167,0.002991796,0.000955462,-0.047596946,-0.051522821,0.120119795,watch,user3,walk
0.039994880,-0.004074633,0.005844653,0.002111673,-0.039218817,-0.047461674,0.113193445,watch,user3,walk
0.049993984,-0.003846347,0.005900681,0.001236737,-0.030174723,-0.037362702,0.108051948,watch,user3,walk
0.059993088,-0.002575159,0.005526274,0.004302800,-0.025670029,-0.032300211,0.099626176,watch,user3,walk
0.069992192,-0.002482891,0.001850605,0.004537106,-0.025111299,-0.028946757,0.092844963,watch,user3,walk
0.079991040,-0.001710474,-0.003647536,0.003800154,-0.023501817,-0.030547585,0.085213870,watch,user3,walk
0.089990144,-0.000403076,-0.007767290,0.001092732,-0.022397937,-0.030161958,0.087552659,watch,user3,walk
0.099989248,0.000615209,-0.004052252,-0.001106620,-0.020060126,-0.030892907,0.086284734,watch,user3,walk
0.109988096,-0.000050277,0.000418365,-0.000399947,-0.022460433,-0.032221295,0.086300179,watch,user3,walk
0.119986944,0.000121564,-0.000984251,0.001515210,-0.032569040,-0.033088595,0.086632743,watch,user3,walk
0.129986048,-0.000713229,-0.006932378,0.007193625,-0.055695660,-0.033387668,0.091091409,watch,user3,walk
0.139985152,-0.000683904,-0.011880040,0.011148095,-0.086371809,-0.037644729,0.093902111,watch,user3,walk
0.149984256,-0.000807911,-0.014449179,0.016170263,-0.112712070,-0.039637573,0.094062962,watch,user3,walk
0.159983104,-0.002212465,-0.015914351,0.015404403,-0.140348539,-0.034640063,0.096755885,watch,user3,walk
0.169981952,0.000447869,-0.014003456,0.016523600,-0.168432370,-0.031667177,0.106018089,watch,user3,walk
0.179981056,-0.000309050,-0.013153464,0.017871618,-0.193427250,-0.030691838,0.109551504,watch,user3,walk
0.189979136,0.001771688,-0.015890092,0.016461372,-0.222365156,-0.026246225,0.111180827,watch,user3,walk
0.199978240,-0.002616584,-0.018487841,0.013934016,-0.247723728,-0.023137072,0.113106094,watch,user3,walk
0.209977088,-0.006238848,-0.012632042,0.012374878,-0.268453538,-0.015626160,0.109929480,watch,user3,walk
0.219975936,-0.009341598,-0.007065117,0.007770240,-0.287894815,-0.006410113,0.114166766,watch,user3,walk
0.229975040,-0.008885533,-0.002416521,0.002762139,-0.313289911,0.001652874,0.115854941,watch,user3,walk
0.239974144,-0.007631183,-0.005163431,0.004753053,-0.346505582,0.007587017,0.114267960,watch,user3,walk
0.249972992,-0.005582571,-0.008384079,0.001907825,-0.390580624,0.017643115,0.114465833,watch,user3,walk
0.259972096,-0.005408138,-0.013989300,0.004516602,-0.467379659,0.040554289,0.110746533,watch,user3,walk
0.269971200,-0.011896700,-0.019180894,0.008742690,-0.578211129,0.069855720,0.101134919,watch,user3,walk
0.279970304,-0.017582297,-0.029264450,0.012139440,-0.670856237,0.071346559,0.083307788,watch,user3,walk
0.289968896,-0.009499669,-0.026599705,0.005770087,-0.728573024,0.068036780,0.077640846,watch,user3,walk
0.299968000,-0.002599984,-0.006145954,0.000931144,-0.745336950,0.073115423,0.067539543,watch,user3,walk
0.309967104,-0.002510011,0.017388493,-0.003405273,-0.728458405,0.076136783,0.049342159,watch,user3,walk
0.319966208,-0.008165985,0.032983691,-0.009003401,-0.679944098,0.077482387,0.025557403,watch,user3,walk
0.329965056,-0.012095720,0.041870624,-0.015371561,-0.612207353,0.084426053,0.001787892,watch,user3,walk
0.339964160,-0.015896320,0.044342011,-0.018970072,-0.541167140,0.092407189,-0.017774358,watch,user3,walk
0.349963008,-0.016712666,0.039926618,-0.022153556,-0.472482324,0.098290376,-0.031938113,watch,user3,walk
0.359962112,-0.015117139,0.026690096,-0.023749053,-0.421064764,0.099950776,-0.036217280,watch,user3,walk
0.369960960,-0.014261186,0.007222295,-0.021572769,-0.390735626,0.096548587,-0.039635982,watch,user3,walk
0.379959040,-0.009607911,-0.012659252,-0.017756045,-0.372725576,0.091218799,-0.033826761,watch,user3,walk
0.389958144,-0.009810120,-0.026678652,-0.011778653,-0.367074877,0.074572176,-0.028916957,watch,user3,walk
0.399957248,-0.005444944,-0.032298714,-0.007609785,-0.366242856,0.067824878,-0.018751273,watch,user3,walk
0.409956096,-0.002316892,-0.035134912,-0.001419306,-0.354116678,0.046531044,-0.008968416,watch,user3,walk
0.419954944,0.001922458,-0.034382105,0.000477791,-0.326874882,0.020340895,-0.001149175,watch,user3,walk
0.429954048,0.003933638,-0.023015946,-0.001982152,-0.292373896,0.010061627,0.010502154,watch,user3,walk
0.439953152,0.004535884,-0.011454076,0.001314223,-0.245229647,-0.001227336,0.022918345,watch,user3,walk
0.449952256,0.004299790,-0.005136162,0.003544211,-0.200284809,-0.011913002,0.032641012,watch,user3,walk
0.459951104,0.003428996,-0.002501279,0.002730846,-0.166806832,-0.013237748,0.042244237,watch,user3,walk
0.469949952,0.001108170,-0.000559449,0.004589438,-0.152708590,-0.013313115,0.051510442,watch,user3,walk
0.479949056,0.001992524,-0.006407112,0.010013938,-0.150984287,-0.019386277,0.060070638,watch,user3,walk
0.489948160,0.002139986,-0.015825063,0.010692775,-0.165606633,-0.022520017,0.065554887,watch,user3,walk
0.499947008,0.000720441,-0.017374098,0.011653662,-0.181686357,-0.022889221,0.074499376,watch,user3,walk
0.509946112,-0.000524193,-0.013149083,0.008259177,-0.197706074,-0.018926438,0.080869928,watch,user3,walk
0.519945216,-0.001489133,-0.008341461,0.007426798,-0.207148209,-0.015258111,0.084687963,watch,user3,walk
0.529944320,-0.002913296,-0.004912645,0.003795266,-0.214911327,-0.009374123,0.089135177,watch,user3,walk
