Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.001655416665,7.595804443,5.018763428,3.328328705,0.3612016439,-0.3843166828,-0.2864420116,phone,user4,walk
0.02172041667,7.614515533,5.147795105,3.164419556,0.2445673198,-0.1700243801,-0.3028602004,phone,user4,walk
0.04178541667,7.501500549,5.144801331,3.239413605,0.09391701221,0.01634782739,-0.2808802724,phone,user4,walk
0.06185141667,7.498357086,5.354814606,3.49268692,0.01381623372,0.08056457341,-0.2620583177,phone,user4,walk
0.08191641667,7.297175446,5.248385925,3.320245514,0.0007004403742,0.01096838806,-0.2578851581,phone,user4,walk
0.1019824167,7.819289703,5.289700012,3.244053955,0.03298144415,-0.07737132162,-0.3191843033,phone,user4,walk
0.1220474167,7.697293396,5.378764801,3.270848236,0.06038355455,-0.1019686908,-0.3380993307,phone,user4,walk
0.1421116667,7.565267944,5.488636322,3.235970764,0.06642413884,-0.1110048667,-0.342962563,phone,user4,walk
0.1621776667,7.445367279,5.529651031,3.383114777,0.05757972598,-0.0800165683,-0.3505770862,phone,user4,walk
0.1822426667,7.14224762,5.614674225,3.319347382,0.03553353623,-0.08217845857,-0.3279005289,phone,user4,walk
0.2023076667,7.214247894,5.517226868,3.298989716,0.01694880612,-0.07721689343,-0.3118445873,phone,user4,walk
0.2223736667,7.396718445,5.588478699,3.188220062,0.009913006797,-0.110649325,-0.3216997087,phone,user4,walk
0.2424386667,7.390880585,5.689069519,3.185375977,0.01348407753,-0.1172598079,-0.332511723,phone,user4,walk
0.2625046667,7.197482758,5.840404816,3.247347107,0.0115068946,-0.09152146429,-0.3331373334,phone,user4,walk
0.2825696667,6.99480423,5.942941589,3.251388702,0.009443872608,-0.09593229741,-0.3504233956,phone,user4,walk
0.3026346667,6.901697845,5.88665863,3.283871155,0.0265670307,-0.09599442035,-0.3549439311,phone,user4,walk
0.3227006667,6.924749908,5.9627005,3.206931152,0.05108527094,-0.1374973506,-0.3551228344,phone,user4,walk
