Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.008958416,-0.5530605912,8.932766914,-7.280767441,-0.5049353242,-0.4186489284,0.1310275346,phone,user2,lie
0.028973026,0.09576806426,9.234436035,-7.95593214,-0.9166600704,-0.7787083387,0.1773665249,phone,user2,lie
0.048974237,0.5458779931,9.267954826,-8.449137688,-1.443433285,-1.129712939,0.1523328125,phone,user2,lie
0.068967908,0.7230489254,8.956708908,-7.989450932,-1.882322311,-1.326254249,0.1603222936,phone,user2,lie
0.088965291,1.204283476,8.973467827,-6.406883717,-2.145442724,-1.613343,0.1454086006,phone,user2,lie
0.108958885,1.714248419,9.3685112,-5.178658485,-2.178465843,-1.731054783,0.01278317347,phone,user2,lie
0.128965096,1.771709204,9.239224434,-4.175487995,-2.043177128,-1.821602225,-0.207726568,phone,user2,lie
0.148964705,1.429338455,9.25358963,-3.742137194,-1.958488703,-2.154497385,-0.4069310129,phone,user2,lie
0.168965799,2.123656988,8.406042099,-4.007893562,-1.878593922,-2.361158609,-0.7115966678,phone,user2,lie
0.188964862,1.757344007,7.699752808,-4.606443882,-1.931324482,-2.292448997,-1.015729666,phone,user2,lie
0.208969158,0.4405331016,8.025363922,-4.335899353,-2.152899504,-2.24451232,-1.117462397,phone,user2,lie
0.228973612,0.1149216816,8.327033043,-2.82036972,-2.392584085,-2.490588188,-1.209075212,phone,user2,lie
0.248975408,-0.6560112834,8.451532364,-1.723825216,-2.504436731,-2.783535957,-1.35874486,phone,user2,lie
0.268969315,-1.70946002,7.781155586,-0.9385270476,-2.754241228,-2.702043295,-1.147822499,phone,user2,lie
0.28897119,-1.029506683,7.51300478,0.6943184733,-2.643986464,-2.727077007,-1.066862345,phone,user2,lie
0.308972518,-0.8714894056,7.412448406,0.825999558,-2.636529446,-2.653041124,-1.11692977,phone,user2,lie
0.328977127,-1.642422318,7.393294811,0.8906430602,-2.750512838,-2.535861969,-1.235706806,phone,user2,lie
0.348984315,-3.038241863,6.835445881,2.379836559,-3.020557404,-2.623746395,-1.24955523,phone,user2,lie
0.368993143,-3.7181952,6.397306919,5.209783077,-2.949717283,-3.482349396,-0.8106662631,phone,user2,lie
0.388996307,-3.658340216,6.121973515,5.157110691,-2.714293718,-4.016579628,-0.3105245829,phone,user2,lie
0.408997205,-2.923320293,5.695806026,3.813963413,-2.74838233,-4.010188103,-0.1475391239,phone,user2,lie
0.428991112,-3.16034627,7.122750282,7.280767441,-2.701510668,-3.718305588,-0.1608549356,phone,user2,lie
0.448981502,-3.23456645,7.438784599,9.557653427,-1.878061295,-1.368864775,-0.148604393,phone,user2,lie
0.468969393,-0.6655880809,4.922478676,9.868899345,-1.049285531,-0.0697748214,-0.5358279943,phone,user2,lie
0.488957244,-1.984793186,5.755661011,10.18972206,-0.0825579986,-1.273523688,-1.01306653,phone,user2,lie
0.508949705,-3.828328609,6.251260757,7.426813602,0.875647366,-1.961151838,-0.9097358584,phone,user2,lie
0.528952166,-5.214571476,6.375759125,4.797980309,1.043959141,-2.085787773,-0.5150553584,phone,user2,lie
0.548956815,-4.893748283,6.133944988,3.579331636,0.8495483994,-2.239718437,0.04846953228,phone,user2,lie
0.568955174,-3.390189648,6.461950302,4.608838081,0.7627293468,-2.918824673,0.4218447208,phone,user2,lie
0.588944276,-2.604891539,6.198588371,5.68144083,1.03863287,-3.382747173,0.6881608367,phone,user2,lie
0.608933416,-1.007958889,5.604825974,5.72214222,1.544633508,-3.301254511,0.5544701219,phone,user2,lie
0.628928299,-2.394201756,5.142745018,4.625597477,2.001631975,-3.447728395,0.1747033745,phone,user2,lie
0.648924783,-3.476380825,3.689464808,3.184288263,2.294047117,-3.621366501,0.3680488765,phone,user2,lie
0.668928612,-4.314351559,3.201047659,2.703053713,1.903627634,-3.130812168,1.146757245,phone,user2,lie
0.68892119,-3.660734415,3.758896589,3.986345768,1.663410425,-3.425357819,2.075667858,phone,user2,lie
0.708919588,-2.025494576,4.553771496,3.354276657,1.461010218,-3.211772442,2.74465394,phone,user2,lie
0.72892033,1.11569798,4.774038315,3.742137194,0.8607336879,-1.873800159,3.144128084,phone,user2,lie
0.748937791,3.347094059,4.75488472,4.920084476,0.2396845073,-0.6823018789,3.506317854,phone,user2,lie
0.768940018,4.323928356,5.394136429,6.524199486,-0.09427590668,-0.09960222989,3.697532892,phone,user2,lie
0.788938377,4.848258495,5.849034786,8.169015884,-0.1603222936,0.2130528986,3.760916233,phone,user2,lie
0.808927713,4.711789131,5.46596241,9.481039047,-0.03142530099,0.1065264493,3.753459215,phone,user2,lie
0.828922908,6.976703644,5.554547787,9.818621635,0.2242381722,0.1395496428,4.011785984,phone,user2,lie
0.848918768,11.94467258,5.398924828,9.057265282,0.5763080716,0.5901564956,3.779025555,phone,user2,lie
0.868921815,12.20803452,5.073313236,6.751648903,0.6668555737,1.20055306,2.913498402,phone,user2,lie
0.888920369,11.52089882,4.113238335,6.607996464,0.3004045784,2.663161039,2.550775766,phone,user2,lie
0.908915916,10.18014526,4.707000732,8.729259491,0.07456851006,4.169445038,2.620550632,phone,user2,lie
0.928905252,12.88798809,5.513846397,9.840168953,0.2934803665,4.808071136,2.447977781,phone,user2,lie
0.948890369,14.29577827,6.007051945,9.591172218,0.7313040495,3.25225234,1.533448219,phone,user2,lie
0.968876424,11.25514221,6.232107162,8.214506149,1.317199469,1.228249907,0.6956176758,phone,user2,lie
0.988868651,9.653421402,6.153098583,7.12993288,1.670334697,0.5997439027,0.3994741738,phone,user2,lie
1.008862127,8.556877136,6.179434776,5.571307182,1.776328444,0.6796387434,0.3419498801,phone,user2,lie
1.028850487,9.160215378,6.327875137,3.708618402,1.674063087,0.6167881489,0.348341465,phone,user2,lie
1.048842323,10.25197124,6.555324078,3.031059265,1.472728133,0.03408846259,0.0367516242,phone,user2,lie
1.068840799,11.03008747,6.538564682,-1.031900883,0.9108011127,-1.375256419,-0.7664577961,phone,user2,lie
1.088838338,6.651092529,7.682993412,0.921767652,0.6567355394,-1.281513095,-1.088700294,phone,user2,lie
