Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.017458878,4.479551315,4.283226967,7.51300478,0.1544633508,-0.371244669,0.1033306494,phone,user2,sit
0.037471496,4.958391666,4.359841347,7.127538681,-0.02769687586,-0.007456851192,0.06285060197,phone,user2,sit
0.057474933,4.812345505,4.955997467,7.723694801,-0.2290318608,0.5113269091,0.185888648,phone,user2,sit
0.07748173,4.733336926,5.109226227,7.977479935,-0.3653857112,0.7616640925,0.4559331834,phone,user2,sit
0.097477433,4.632780075,4.740519524,7.860164165,-0.4314320982,0.7526093125,0.6029396653,phone,user2,sit
0.117471261,3.945644379,3.912125587,7.134721279,-0.50387007,0.9182579517,0.5512743592,phone,user2,sit
0.137464035,5.030217648,2.959233284,8.238448143,-0.6609966159,0.9677927494,0.2854908705,phone,user2,sit
0.157460441,3.538630009,3.268085241,8.595184326,-0.7376956344,0.5976133347,0.3797667921,phone,user2,sit
0.177460363,3.804386616,2.844311714,7.898471355,-0.7595335841,0.3488741219,0.8468852639,phone,user2,sit
0.197456925,3.881000996,2.504334927,8.166622162,-0.7627293468,0.2721750736,1.269795179,phone,user2,sit
0.217453097,5.300762653,2.501940727,8.573636055,-0.7254450917,0.03408846259,1.302818418,phone,user2,sit
0.237447668,6.473921299,2.561795712,8.899248123,-0.4990763962,-0.1640507281,1.043959141,phone,user2,sit
0.257438566,8.609549522,1.941697598,8.437167168,-0.1986718178,-0.1145159304,0.4330300093,phone,user2,sit
0.277436339,8.382100105,1.393425345,7.292738438,-0.2663161159,-0.3238403797,-0.7760451436,phone,user2,sit
0.29743755,5.877765179,1.094150186,7.328651428,-0.4165183902,-1.019990683,-1.409344912,phone,user2,sit
0.317436964,4.089296341,0.3974374831,7.280767441,-0.4788363874,-1.8498317,-1.442900658,phone,user2,sit
0.337432746,2.013523579,-0.08379705995,5.87297678,-0.7062703371,-1.78804636,-1.237837315,phone,user2,sit
0.357437238,1.168370485,0.1292868853,5.731719017,-1.293763638,-1.468999743,-0.875647366,phone,user2,sit
0.377451183,1.690306425,0.2274491638,7.812280178,-1.634115696,-1.375256419,-0.4367584288,phone,user2,sit
0.397459738,3.337517262,0.5841852427,8.705317497,-1.508414507,-1.764610529,-0.3419498801,phone,user2,sit
0.417464386,3.287238836,0.988805294,8.863334656,-1.361940622,-2.428802967,-0.5747101903,phone,user2,sit
0.437477394,3.174711466,0.09576806426,8.951920509,-1.24955523,-2.929477215,-0.6759102941,phone,user2,sit
