Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
-0.0008180833393,6.402186584,7.236551514,2.372416534,-0.01017681696,-0.004139675759,-0.04643645138,phone,user4,ran
0.01924791667,6.290518799,7.013365631,2.196981354,-0.03009865992,-0.004109802656,-0.02720739506,phone,user4,ran
0.03931391666,6.462511139,6.996151428,2.417772217,0.0001679346897,-0.03129000962,-0.01161717158,phone,user4,ran
0.05937891667,6.554569702,6.982380066,2.531535645,0.01971953176,-0.0323526077,-0.01787799783,phone,user4,ran
0.07944491666,6.637347565,6.91756485,2.411335602,0.0188382566,-0.03860858083,-0.0382982716,phone,user4,ran
0.09951091666,6.619235229,6.890171814,2.356848907,-0.000424586935,-0.04389347881,-0.05542621762,phone,user4,ran
0.1195769167,6.512058105,6.865922241,2.321971436,-0.01662373729,-0.03950270638,-0.05999498442,phone,user4,ran
0.1396419167,6.524033203,6.92460022,2.38229599,-0.009720732458,-0.03440982476,-0.06510704011,phone,user4,ran
0.1597079167,6.703360291,6.997947693,2.36118988,-0.0004757198039,-0.008208986372,-0.09453739971,phone,user4,ran
0.1797739167,6.609954529,6.973847809,2.362237701,0.01278177835,-0.01492524426,-0.1128040478,phone,user4,ran
0.1998399167,6.865772552,7.071444855,2.417921906,0.04387046769,-0.04222001508,-0.1754394919,phone,user4,ran
0.2199049167,7.262896729,7.013066254,2.5613237,0.1057976335,-0.1249812618,-0.3182007372,phone,user4,ran
0.2399709167,7.141349487,6.307583313,1.152603149,-0.2166031301,0.1751431525,-0.4292663932,phone,user4,ran
0.2600369167,4.524042206,7.308252411,3.194956055,-0.01653436385,-0.001379749505,-0.07954000682,phone,user4,ran
0.2801029167,6.392606506,7.222331085,2.536175995,0.0544779934,-0.05999620631,-0.06021112949,phone,user4,ran
0.3001679167,6.178551636,7.044650574,2.042801971,-0.009713228792,-0.01058527827,-0.05496898666,phone,user4,ran
0.3202339167,6.339317322,7.07668396,2.300266571,-0.01884448901,-0.03769317269,-0.06166059151,phone,user4,ran
0.3402999167,6.292464752,7.144642639,2.207609253,-0.04101835191,-0.03483047709,-0.0616412349,phone,user4,ran
0.3603659167,6.220913544,7.143894196,2.464774475,-0.0220596306,-0.04847410321,-0.06552471966,phone,user4,ran
0.3804309167,6.20265152,7.192243652,2.482587433,-0.01074365247,-0.04598578438,-0.0603623502,phone,user4,ran
0.4004969167,6.255341949,7.160659332,2.508034515,-0.009598210454,-0.04271491989,-0.05954664573,phone,user4,ran
0.4205629167,6.34066452,7.155719604,2.434836731,-0.01757825911,-0.05184384808,-0.07748253644,phone,user4,ran
0.4406289167,6.301446075,7.218439178,2.572101288,-0.007361969911,-0.06409034133,-0.09062346816,phone,user4,ran
0.4606949167,6.244863739,7.210655365,2.600691833,0.01212769002,-0.077568084,-0.09694569558,phone,user4,ran
0.4807599167,6.079607391,7.160210266,2.591860199,0.02381888404,-0.08525841683,-0.1027181074,phone,user4,ran
0.5008259167,6.057752838,7.105274506,2.651585999,0.03165565059,-0.09394071251,-0.1141246557,phone,user4,ran
0.5208919167,6.110892334,7.187303925,2.663261719,0.04438013583,-0.1001291126,-0.1299721897,phone,user4,ran
0.5409579167,6.208938446,7.263046417,2.662812653,0.04565188289,-0.09589890391,-0.1514387131,phone,user4,ran
0.5610229167,6.207740936,7.298672333,2.58707016,0.04991698265,-0.09537009895,-0.1639593691,phone,user4,ran
0.5810889167,6.095773773,7.302264862,2.550995178,0.04615984112,-0.09840996563,-0.1685989648,phone,user4,ran
0.6011547083,6.014492798,7.311096497,2.53557724,0.04019098356,-0.1030113325,-0.1674634963,phone,user4,ran
0.6212207083,5.996829529,7.374115448,2.474204865,0.02380451746,-0.112261042,-0.1613428295,phone,user4,ran
0.6412857083,6.066734161,7.426656189,2.397264862,-0.001032753848,-0.1302824616,-0.1537321806,phone,user4,ran
0.6613517083,6.108796692,7.378755798,2.37645813,-0.02040893212,-0.1575801373,-0.1523594558,phone,user4,ran
0.6814177083,6.133345642,7.351213074,2.271825714,-0.03278578818,-0.1529682577,-0.1530553401,phone,user4,ran
0.7014837083,6.174809418,7.282356262,2.385289764,-0.02338131703,-0.1414197385,-0.1522534192,phone,user4,ran
0.7215497083,6.119274902,7.242988129,2.374212799,-0.01568793133,-0.1453647763,-0.1430692971,phone,user4,ran
0.7416147083,5.994883575,7.185058594,2.315235443,-0.004628386348,-0.1485924572,-0.1355346292,phone,user4,ran
0.7616807083,5.967191162,7.17383194,2.288141785,0.008102406748,-0.1257713884,-0.1138549,phone,user4,ran
0.7817467083,6.209237823,7.111112366,2.35774704,0.0367038548,-0.1030351818,-0.1150305495,phone,user4,ran
0.8018127083,6.508166199,7.135811005,2.333946533,0.05937509984,-0.08434716612,-0.1286082864,phone,user4,ran
0.8218777083,6.570586395,7.383695526,2.176773376,0.05685068667,-0.05491017923,-0.1313281655,phone,user4,ran
0.8419437083,6.2002565,7.508835297,2.138003998,0.06785622984,0.016536057,-0.1039348245,phone,user4,ran
0.8620097083,5.88321579,7.539072418,2.19623291,0.09805455059,0.06771513075,-0.06515869498,phone,user4,ran
0.8820757083,5.772446136,7.495513,2.095941467,0.1202425957,0.08645828068,-0.03797315434,phone,user4,ran
0.9021417083,5.645510101,7.504344635,1.983974304,0.1205905005,0.08107553422,-0.02018606849,phone,user4,ran
0.9222067083,5.658233643,7.651788025,1.951791229,0.1032425836,0.07284484059,-0.02092323825,phone,user4,ran
0.9422727083,5.675148468,7.773784332,2.071691895,0.09659913927,0.07312268019,-0.01792540215,phone,user4,ran
0.9623387083,5.81645462,7.748936005,2.189796295,0.1093494669,0.07980450988,-0.02492780983,phone,user4,ran
0.9824047083,5.902974701,7.655979309,2.148931274,0.1034860536,0.09484824538,-0.02711701207,phone,user4,ran
1.002469708,5.788013763,7.574848022,2.02663559,0.07834506035,0.08678516746,-0.02067915723,phone,user4,ran
1.022535708,5.808371429,7.575895844,2.083068237,0.08393398672,0.07787366956,-0.02800180949,phone,user4,ran
1.042601708,5.855822754,7.635172577,2.131717072,0.1020198986,0.07755216211,-0.02520407178,phone,user4,ran
1.062667708,5.811664581,7.635172577,2.00088913,0.1172423884,0.07068130374,-0.03101568483,phone,user4,ran
1.082733708,5.67380127,7.682324524,1.885179749,0.1410875469,0.05568344519,-0.02872802876,phone,user4,ran
1.102798708,5.607339478,7.748187561,1.947150879,0.1584421843,0.03033565544,-0.02803227119,phone,user4,ran
1.122864708,5.613027649,7.791447601,1.930834808,0.1423179358,0.02968163788,-0.03123222291,phone,user4,ran
1.142930708,5.652096405,7.858358459,1.92484726,0.1103927717,0.0435529463,-0.03554204106,phone,user4,ran
1.162996708,5.646258545,7.83844986,1.854343872,0.0850892663,0.05277664587,-0.02770767175,phone,user4,ran
1.183061708,5.757028198,7.77872406,1.867217102,0.07970247418,0.04679807276,-0.01888924651,phone,user4,ran
1.203127708,5.866300964,7.717651062,1.939067688,0.09038580209,0.03658167645,-0.02454085276,phone,user4,ran
1.223193708,5.811514893,7.734416199,1.967209167,0.0911264196,0.03747113422,-0.03554939479,phone,user4,ran
1.243259708,5.706882477,7.759264526,1.99145874,0.08502019197,0.02771047689,-0.03144206479,phone,user4,ran
1.263324708,5.649102631,7.721093903,1.953437805,0.0783425048,0.01459072623,-0.01119301654,phone,user4,ran
1.283390708,5.634283447,7.721692657,1.942660217,0.07523972541,0.00689128926,0.009314810857,phone,user4,ran
1.303456708,5.70763092,7.778125305,1.859133911,0.06352949888,0.02595170401,0.02181495167,phone,user4,ran
1.323522708,5.723348236,7.735014954,1.866468658,0.06289010495,0.0430287458,0.02526757866,phone,user4,ran
1.343587708,5.758076019,7.778873749,1.830992432,0.06244706735,0.06062410772,0.01793984883,phone,user4,ran
1.363653708,5.730682983,7.884254608,1.830693054,0.06481450796,0.06475241482,0.003752165474,phone,user4,ran
1.383719708,5.72634201,7.935298462,1.710493011,0.04945237562,0.05349814519,-0.0003051059321,phone,user4,ran
1.403785708,5.685926056,7.940387878,1.676513672,0.03274901211,0.03409491852,-0.000619601924,phone,user4,ran
1.423851708,5.635780334,7.837851105,1.679357758,0.01933230646,0.01707779057,0.001156679937,phone,user4,ran
1.443916708,5.626349945,7.7728862,1.742077332,0.01507351175,0.009728167206,0.00194583647,phone,user4,ran
