Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.001249625002,7.624844055,6.138135681,1.491797791,0.1423283666,-0.06072444096,-0.05395412818,phone,user4,stand
0.021316625,7.723339233,6.008804626,1.435514832,0.07560548931,0.1138855591,-0.09502481669,phone,user4,stand
0.041382625,7.427404633,5.954766998,1.382824402,0.002479845658,0.05438218266,-0.07471130043,phone,user4,stand
0.061448625,7.381450195,5.948480072,1.701511688,0.009819050319,-0.0363529399,-0.04166733474,phone,user4,stand
0.081514625,7.516020355,6.156248016,1.839824066,0.01932918839,-0.05384256318,-0.01882595569,phone,user4,stand
0.101581625,7.558232574,6.110742645,1.685045929,-0.02534619346,0.0153266592,-0.0417903699,phone,user4,stand
0.121647625,7.499255219,6.05281311,1.587897949,-0.06005012989,0.01999921724,-0.07560296357,phone,user4,stand
0.141713625,7.413034515,6.12885498,1.715582428,-0.02590542287,-0.05760869011,-0.08903829753,phone,user4,stand
0.161779625,7.395371246,6.085145874,1.772763519,0.009135697968,-0.1550421566,-0.100664109,phone,user4,stand
0.181846625,7.322772217,6.026767273,1.779200134,0.00371986907,-0.1883497685,-0.1068671271,phone,user4,stand
0.201912625,7.079228668,6.21896759,1.671424255,-0.05957049504,-0.1758026332,-0.0666071102,phone,user4,stand
0.221978625,7.396718445,6.16867218,1.836530914,-0.06117459759,-0.2105451822,-0.0998749584,phone,user4,stand
0.242044625,7.120542755,6.040239258,1.907333679,-0.01156126894,-0.222781986,-0.07069204748,phone,user4,stand
0.262111625,6.702462158,6.332431641,1.626966705,-0.03138820454,-0.241536513,0.03098689578,phone,user4,stand
0.282177125,7.240293732,6.373895416,1.694775696,0.01249885187,-0.4310363829,0.003811723553,phone,user4,stand
0.302243125,7.065157928,6.102659454,1.720671844,0.08151114732,-0.5297537446,0.025143696,phone,user4,stand
0.322309125,7.353159027,6.255192261,1.499581604,0.05193864182,-0.4793966413,0.03635611385,phone,user4,stand
0.342376125,7.855364685,6.44365036,1.481020203,0.03837857768,-0.5914875269,-0.05536399782,phone,user4,stand
0.362442125,8.385113068,6.239175568,1.165476379,-0.02715815231,-0.4284095168,-0.1394658238,phone,user4,stand
0.382508125,7.800279236,6.162385254,1.507215729,0.02309096791,-0.1097603142,-0.1070991009,phone,user4,stand
0.402574125,8.035440216,5.961502991,1.454525299,0.08281966299,-0.04181944951,-0.1616443247,phone,user4,stand
0.422641125,8.104746094,5.74625061,1.307231598,0.1029853448,-0.110570766,-0.1968374848,phone,user4,stand
0.442707125,8.188871155,5.838009796,1.297202454,0.08120367676,-0.06658696383,-0.21525006,phone,user4,stand
0.462773125,7.995772705,6.156697083,1.394949188,0.06996311247,0.03663151711,-0.2159187794,phone,user4,stand
0.482839125,7.754773865,6.184838562,1.377435608,0.1121519059,0.01433856785,-0.2217628211,phone,user4,stand
0.502906125,7.562423859,6.020630035,1.395847321,0.2128602564,0.005607071798,-0.2208698839,phone,user4,stand
0.522972125,7.835156708,6.103707275,1.188977509,0.2725692689,0.09077277035,-0.2652746439,phone,user4,stand
0.543038125,7.485932922,5.899082794,1.053509216,0.2940802872,0.1787672937,-0.2664567232,phone,user4,stand
0.563104125,7.536976776,5.841153259,0.9852511597,0.334160924,0.1564077288,-0.2638790905,phone,user4,stand
0.583171125,7.650291138,6.042035522,0.9241781616,0.3835327327,0.1188578978,-0.2707990408,phone,user4,stand
0.603237125,7.38324646,6.162085876,0.9574090576,0.4238212109,0.09136044234,-0.2472351491,phone,user4,stand
0.623303125,7.26274704,6.171366577,1.02027832,0.466533035,0.04410152882,-0.2306782454,phone,user4,stand
0.643369125,7.40779541,6.375541992,0.8322692871,0.4397417605,0.1404826045,-0.2431133538,phone,user4,stand
0.663436125,8.032446442,6.731052704,0.6586303711,0.3744506836,0.2856091857,-0.3244875669,phone,user4,stand
0.683502125,7.59625351,6.666686554,0.8297245789,0.3991215527,0.3330933154,-0.3011657,phone,user4,stand
0.703568125,7.33878891,6.445296936,0.900377655,0.4884196818,0.3545616865,-0.2681995034,phone,user4,stand
0.723634125,7.344776459,6.548582153,1.01324295,0.6284469366,0.3012072146,-0.2768742442,phone,user4,stand
0.743701125,7.394473114,6.434519348,1.210682373,0.8793734908,0.06915931404,-0.3638368845,phone,user4,stand
0.763767125,6.826853485,6.358178101,0.4818479919,0.9373859763,0.1397234797,-0.3694071472,phone,user4,stand
0.783833125,6.681954803,6.654711456,-0.4926255798,0.6758154035,0.3257710636,-0.334300518,phone,user4,stand
0.803899125,6.577322388,6.904841309,-0.9005273438,0.3667767942,0.335913986,-0.265119046,phone,user4,stand
0.823966125,6.389013977,7.06141571,-0.6032455444,0.1773847044,0.2498976141,-0.1595571935,phone,user4,stand
0.844032125,6.649172974,7.277566223,0.1213975525,0.1745266169,0.140893802,-0.1329612881,phone,user4,stand
0.864098125,6.725813599,7.404502258,0.5421725464,0.2531454265,0.09928675741,-0.1582232267,phone,user4,stand
0.884164125,6.647376709,7.332202606,0.5974076843,0.3124215305,0.1412296742,-0.2044479847,phone,user4,stand
0.904231125,6.536307678,7.27562027,0.3586541748,0.3195855319,0.1860588789,-0.2216978073,phone,user4,stand
0.924297125,6.400689697,7.279961243,0.1270857239,0.2911592722,0.1860331595,-0.2006335407,phone,user4,stand
0.944363125,6.523733826,7.327412567,0.01437011719,0.2374682426,0.1193096191,-0.1875513196,phone,user4,stand
0.964429125,6.589447174,7.441475372,0.02784210205,0.186145857,0.05680124089,-0.1731308103,phone,user4,stand
0.984496125,6.521937561,7.455097046,0.06481521606,0.1446482092,0.03069256246,-0.1602152884,phone,user4,stand
1.004562125,6.50921402,7.374564514,0.1013392639,0.1118265465,0.03618171066,-0.1561728418,phone,user4,stand
1.024628125,6.44365036,7.329358521,0.1110690308,0.09530919045,0.05174730718,-0.1571286619,phone,user4,stand
1.044694125,6.461912384,7.334298248,0.1148112488,0.09772068262,0.04280510172,-0.1649698168,phone,user4,stand
1.064761125,6.481521606,7.408094788,0.08502319336,0.1024563164,0.02178903297,-0.181420967,phone,user4,stand
1.084827125,6.434369659,7.376959534,0.02185455322,0.08866224438,0.02761134319,-0.1903561205,phone,user4,stand
1.104893125,6.401438141,7.268884277,0.06900650024,0.07192260027,0.01697217301,-0.1834665239,phone,user4,stand
1.124959125,6.407126312,7.237299957,0.1047821045,0.06893097609,-0.003691878868,-0.1847182214,phone,user4,stand
1.145026125,6.459217987,7.311246185,0.1627116394,0.0796380043,-0.03605435044,-0.1910754889,phone,user4,stand
1.165092125,6.521189117,7.43818222,0.1686991882,0.08750469238,-0.0617981106,-0.2092096955,phone,user4,stand
1.185158125,6.535858612,7.501201172,0.1178050232,0.08643812686,-0.0591339916,-0.2286244482,phone,user4,stand
1.205224125,6.401438141,7.463479614,0.08831634521,0.0901215151,-0.04108106345,-0.234860763,phone,user4,stand
1.225290125,6.330934753,7.427404633,0.09131011963,0.1042043716,-0.03763930127,-0.226145789,phone,user4,stand
1.245357125,6.282435608,7.479795685,0.02993774414,0.1150521263,-0.04882564396,-0.2159648389,phone,user4,stand
1.265423125,6.261928253,7.511080627,0.004790039062,0.12238051,-0.07637050748,-0.2115156949,phone,user4,stand
1.28548925,6.259682922,7.596103821,0.007484436035,0.121681802,-0.09154136479,-0.2141929865,phone,user4,stand
1.30555525,6.251300354,7.673792267,-0.02409988403,0.1090802252,-0.08151168376,-0.2135605365,phone,user4,stand
1.32562225,6.12660965,7.6839711,-0.05104385376,0.09434262663,-0.0637620315,-0.2100022733,phone,user4,stand
1.34568825,6.163882141,7.647896118,-0.02859054565,0.09420161694,-0.05069091916,-0.2167893201,phone,user4,stand
1.36575425,6.149362335,7.624544678,-0.05313949585,0.1076076999,-0.02996060625,-0.218376562,phone,user4,stand
1.38582025,6.186335449,7.66286499,-0.1203497314,0.1279830784,-0.002462829463,-0.2188266516,phone,user4,stand
