Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Device,Subject,Activity
0.002223624993,-6.974446564,6.66249527,1.169218597,0.1732100546,-0.2269459665,0.02447064966,phone,user4,walk
0.022294625,-6.888824615,6.816375275,0.7469467163,0.2216067463,-0.1366280764,0.03821713477,phone,user4,walk
0.042364625,-6.826554108,6.783743134,0.5852828979,0.1497309655,-0.03853026778,0.02704330906,phone,user4,walk
0.06243562498,-7.131170654,6.593638458,0.3689826965,0.01524316799,0.05418011174,0.02793408558,phone,user4,walk
0.082505625,-7.039710846,6.714437256,0.4800517273,-0.03192234039,0.0786697343,0.01426413003,phone,user4,walk
0.102575625,-6.925198975,6.725813599,0.5204676819,-0.001178896287,0.08169665188,0.001301512937,phone,user4,walk
0.122646625,-6.927743683,7.02055069,0.6598278809,0.04741639271,0.0844630599,-0.01381123159,phone,user4,walk
0.142716625,-6.742429047,7.007527771,0.7189549255,0.07387705147,0.03311689198,-0.02219001763,phone,user4,walk
0.162787625,-6.975494385,6.966063995,0.7310797119,0.07828173041,-0.01653817669,-0.003671139944,phone,user4,walk
0.182857625,-6.957531738,6.932683411,0.4337979126,0.01061925758,-0.009304335341,-0.002860528417,phone,user4,walk
0.202927625,-6.967411194,6.781198425,0.5316943359,0.01628647745,-0.02176933736,-0.004206064157,phone,user4,walk
0.222998625,-6.863826599,6.825206909,0.5804928589,0.03801149502,0.007889145054,-0.004942535423,phone,user4,walk
0.243068625,-6.90005127,6.89181839,0.5358856201,0.05744082481,0.06148541346,-0.01568524726,phone,user4,walk
0.263138625,-6.824159088,6.902595978,0.5215155029,0.06039775163,0.1032247543,-0.006720559672,phone,user4,walk
0.283209625,-6.796616364,6.907835083,0.38963974,0.01992587,0.1119546145,0.0176963564,phone,user4,walk
0.303279625,-6.732549591,7.032825165,0.3661386108,-0.03295112029,0.1555858105,0.04906179383,phone,user4,walk
0.323350625,-6.476731567,7.131170654,0.28081604,-0.1019940823,0.2454199791,0.08212196082,phone,user4,walk
0.343420625,-6.442153473,7.069947968,0.1389111328,-0.1840085238,0.377768904,0.1119020581,phone,user4,walk
0.363490625,-6.581663361,7.112758942,0.3686833191,-0.1678229868,0.478756845,0.1246148199,phone,user4,walk
0.383561625,-6.645730133,7.219337311,0.5046006775,-0.1263165325,0.5068833828,0.1246442273,phone,user4,walk
0.403631625,-6.949448547,7.156168671,0.5173242188,-0.1546406448,0.4532990456,0.1431573033,phone,user4,walk
0.423701625,-6.963070221,7.00767746,0.3607498169,-0.249772504,0.4473172426,0.1188276112,phone,user4,walk
0.443772625,-6.819518738,6.888974304,0.6505471802,-0.206468448,0.4120617509,0.1409252435,phone,user4,walk
0.463842625,-6.941365356,6.887926483,0.5513035583,-0.1553728729,0.3731982708,0.2189211398,phone,user4,walk
0.483913,-7.182364197,6.719227295,0.3457809448,-0.1323443651,0.3630827069,0.2479250282,phone,user4,walk
0.503983,-7.080426178,6.835984497,0.3800596619,-0.1129922867,0.4226424992,0.1764704585,phone,user4,walk
0.524053,-7.114405518,6.874454498,0.315693512,-0.0874029547,0.4215671122,0.1263707578,phone,user4,walk
0.544124,-6.879693604,6.798861694,0.3793112183,-0.03029970638,0.3939898014,0.03089652769,phone,user4,walk
0.564194,-6.824907532,6.953190765,0.1267863464,-0.03910153732,0.4139418602,-0.06619396061,phone,user4,walk
0.584264,-6.592590637,7.070397034,0.01362167358,-0.06978797168,0.5144654512,-0.101659812,phone,user4,walk
0.604335,-6.715185699,7.115004272,-0.0390687561,-0.07775911689,0.5675230622,-0.04483967274,phone,user4,walk
0.624405,-6.689588928,7.025789795,0.03727249146,-0.04405047372,0.5578662157,0.0217029769,phone,user4,walk
0.644476,-6.712191925,7.074438629,0.03113525391,-0.01210180763,0.5006587505,0.1131244525,phone,user4,walk
0.664546,-6.579567719,7.072642365,-0.1778302002,-0.02783727832,0.4820931256,0.1977598667,phone,user4,walk
0.684616,-6.566844177,6.913074188,-0.3620970154,-0.0646046102,0.4620320201,0.243565768,phone,user4,walk
0.704687,-6.52912262,7.465575256,-0.5544470215,-0.1010865048,0.3358898163,0.1866982281,phone,user4,walk
0.724757,-6.662345581,7.427404633,-0.0217048645,-0.01120608859,0.3140504658,0.1703612208,phone,user4,walk
0.744827,-6.738088074,7.427254944,-0.4890330505,0.007373509463,0.2365780026,0.194357723,phone,user4,walk
0.764898,-6.679410095,7.214996338,-0.8343649292,-0.07471100241,0.327527523,0.2318110466,phone,user4,walk
0.784968,-6.531966705,7.13401474,-0.8619076538,-0.1439357996,0.4476138055,0.2634651661,phone,user4,walk
0.805039,-6.633156281,7.113956451,-0.8409512329,-0.1729557812,0.5017380118,0.2963171899,phone,user4,walk
0.825109,-6.55127655,7.288792877,-0.3748205566,-0.07329922169,0.3804536164,0.2720910609,phone,user4,walk
0.845179,-6.606062622,7.236701202,-0.07274871826,0.08230675757,0.2247150838,0.2801892757,phone,user4,walk
0.86525,-6.600524139,7.228019257,-0.305514679,0.1432390511,0.1553373486,0.2980279326,phone,user4,walk
0.88532,-6.523584137,7.359296265,-0.5776487732,0.122344166,0.1711814851,0.3059680462,phone,user4,walk
0.90539,-6.246510315,7.453300781,-0.6971003723,0.05989681929,0.1128752157,0.2191547453,phone,user4,walk
0.925461,-6.423143005,7.790998535,-0.8427474976,0.0112393396,0.02646532841,0.1519142389,phone,user4,walk
0.945531,-6.479875031,7.399412842,-0.349972229,0.09317551553,-0.02742788382,0.1504876316,phone,user4,walk
0.965601,-6.397546234,7.276368713,-0.5849835205,0.1475848556,-0.07962264121,0.1824327558,phone,user4,walk
0.985672,-6.304290161,7.219337311,-0.6583309937,0.1924746931,-0.1136781573,0.2393457741,phone,user4,walk
1.005742,-6.234086151,7.422913971,-0.8327183533,0.220367521,-0.1205190569,0.2888247073,phone,user4,walk
1.025813,-6.371350708,7.5353302,-0.8819659424,0.2348515987,-0.151899308,0.3530195653,phone,user4,walk
1.045883,-6.319558411,7.59146347,-0.8888516235,0.2267920822,-0.2060019076,0.3700037897,phone,user4,walk
1.065953,-5.706283722,8.268056488,-1.225202179,0.1360581219,-0.2630704641,0.2287866622,phone,user4,walk
